"Time"	"TemperatureC"	"Humidity"	"Sea_Level_PressurehPa"	"Wind_SpeedKm_h"	"Events"	"WindDirDegrees"
2014-01-01 16:50:00	7	"93"	978	"40.7"	"Rain"	110
2014-01-01 17:20:00	6	"100"	977	"42.6"	"Rain"	120
2014-01-01 17:50:00	6	"100"	976	"42.6"	"Rain"	110
2014-01-01 18:20:00	6	"100"	975	"38.9"	"Rain"	90
2014-01-01 18:50:00	7	"100"	974	"33.3"	"Rain"	90
2014-01-01 19:20:00	7	"100"	973	"31.5"	"Rain"	110
2014-01-01 19:50:00	7	"100"	973	"24.1"	""	110
2014-01-01 20:20:00	8	"93"	972	"27.8"	""	120
2014-01-01 20:50:00	8	"100"	972	"25.9"	""	120
2014-01-01 21:20:00	8	"100"	972	"20.4"	""	120
2014-01-02 07:20:00	5	"100"	978	"24.1"	""	250
2014-01-02 07:50:00	5	"100"	979	"24.1"	""	250
2014-01-02 08:20:00	4	"100"	980	"9.3"	""	280
2014-01-02 08:50:00	5	"93"	980	"9.3"	""	280
2014-01-02 09:20:00	6	"93"	981	"20.4"	""	250
2014-01-02 09:50:00	6	"93"	981	"20.4"	""	240
2014-01-02 10:20:00	7	"93"	982	"20.4"	""	240
2014-01-02 10:50:00	7	"93"	982	"20.4"	""	240
2014-01-02 11:20:00	7	"93"	983	"22.2"	""	240
2014-01-02 11:50:00	7	"87"	983	"27.8"	""	230
2014-01-02 12:20:00	6	"93"	983	"16.7"	""	230
2014-01-02 12:50:00	6	"93"	983	"16.7"	""	230
2014-01-02 13:20:00	7	"87"	983	"33.3"	""	240
2014-01-02 13:50:00	7	"87"	983	"22.2"	""	240
2014-01-02 14:20:00	7	"87"	984	"16.7"	""	230
2014-01-02 15:20:00	7	"87"	985	"14.8"	"Rain"	230
2014-01-02 15:50:00	6	"93"	985	"20.4"	""	240
2014-01-02 16:50:00	6	"93"	985	"14.8"	""	230
2014-01-02 17:20:00	6	"93"	985	"14.8"	""	240
2014-01-02 17:50:00	6	"93"	985	"13"	""	210
2014-01-02 18:20:00	6	"93"	985	"22.2"	""	210
2014-01-02 18:50:00	6	"93"	985	"22.2"	""	210
2014-01-02 19:20:00	7	"81"	985	"16.7"	""	200
2014-01-02 19:50:00	7	"81"	985	"11.1"	""	200
2014-01-02 20:20:00	6	"87"	985	"11.1"	""	140
2014-01-02 20:50:00	5	"93"	984	"9.3"	""	120
2014-01-02 21:20:00	6	"87"	984	"14.8"	""	110
2014-01-02 21:50:00	5	"93"	983	"14.8"	""	110
2014-01-03 07:20:00	7	"76"	973	"35.2"	""	180
2014-01-03 07:50:00	7	"76"	973	"31.5"	""	160
2014-01-03 08:20:00	8	"66"	972	"31.5"	""	160
2014-01-03 08:50:00	7	"81"	972	"44.4"	""	180
2014-01-03 09:20:00	7	"81"	972	"42.6"	"Rain"	180
2014-01-03 09:50:00	8	"76"	971	"37"	"Rain"	170
2014-01-03 10:20:00	7	"87"	972	"53.7"	"Rain"	190
2014-01-03 10:50:00	8	"81"	972	"48.2"	"Rain"	190
2014-01-03 11:20:00	8	"81"	972	"57.4"	"Rain"	200
2014-01-03 11:50:00	7	"81"	971	"55.6"	"Rain"	200
2014-01-03 12:20:00	7	"81"	971	"53.7"	"Rain"	200
2014-01-03 12:50:00	7	"87"	971	"55.6"	"Rain"	200
2014-01-03 13:20:00	7	"81"	971	"55.6"	""	200
2014-01-03 13:50:00	7	"81"	970	"59.3"	""	210
2014-01-03 14:20:00	7	"81"	970	"59.3"	""	210
2014-01-03 14:50:00	7	"81"	971	"53.7"	""	210
2014-01-03 15:20:00	7	"81"	971	"57.4"	""	210
2014-01-03 15:50:00	7	"81"	971	"59.3"	""	220
2014-01-03 16:50:00	7	"81"	972	"44.4"	""	230
2014-01-03 17:20:00	7	"81"	973	"35.2"	""	230
2014-01-03 17:50:00	7	"81"	973	"33.3"	""	230
2014-01-03 18:20:00	7	"87"	974	"33.3"	"Rain"	230
2014-01-03 18:50:00	7	"87"	974	"37"	""	230
2014-01-03 19:20:00	7	"87"	975	"37"	""	230
2014-01-03 19:50:00	7	"87"	975	"35.2"	""	230
2014-01-03 20:20:00	7	"87"	975	"35.2"	""	230
2014-01-03 20:50:00	7	"87"	976	"38.9"	""	230
2014-01-03 21:20:00	7	"87"	976	"37"	""	230
2014-01-03 21:50:00	7	"93"	976	"37"	"Rain"	230
2014-01-04 07:50:00	6	"87"	987	"24.1"	""	230
2014-01-04 08:20:00	5	"93"	987	"22.2"	""	230
2014-01-04 08:50:00	5	"93"	987	"14.8"	""	250
2014-01-04 09:20:00	4	"93"	987	"11.1"	""	270
2014-01-04 09:50:00	4	"93"	987	"11.1"	""	270
2014-01-04 10:20:00	4	"93"	987	"1.9"	""	0
2014-01-04 10:50:00	5	"93"	988	"Calm"	""	0
2014-01-04 11:20:00	5	"87"	988	"11.1"	""	100
2014-01-04 11:50:00	5	"87"	987	"9.3"	""	120
2014-01-04 12:20:00	6	"81"	987	"5.6"	"Rain"	110
2014-01-04 12:50:00	5	"93"	987	"9.3"	"Rain"	110
2014-01-04 13:20:00	5	"93"	986	"7.4"	"Rain"	110
2014-01-04 13:50:00	5	"93"	986	"7.4"	"Rain"	80
2014-01-04 14:20:00	5	"93"	986	"5.6"	""	50
2014-01-04 14:50:00	5	"93"	986	"5.6"	""	50
2014-01-04 15:20:00	5	"93"	986	"9.3"	""	80
2014-01-04 15:50:00	5	"93"	986	"9.3"	""	70
2014-01-04 16:20:00	5	"100"	986	"9.3"	""	70
2014-01-05 09:20:00	1	"100"	993	"Calm"	""	0
2014-01-05 09:50:00	2	"100"	993	"Calm"	""	0
