"Time"	"TemperatureC"	"Humidity"	"Sea_Level_PressurehPa"	"Wind_SpeedKm_h"	"Events"	"WindDirDegrees"
2014-01-01 00:00:00	8	"80"	1002	"25.9"	"Rain"	200
2014-01-01 00:20:00	7	"87"	1002	"20.4"	""	210
2014-01-01 00:50:00	7	"81"	1002	"18.5"	""	190
2014-01-01 01:00:00	7	"79"	1002	"20.4"	"Rain"	190
2014-01-01 01:20:00	6	"87"	1002	"22.2"	""	190
2014-01-01 01:50:00	7	"87"	1002	"20.4"	""	190
2014-01-01 02:00:00	6	"86"	1002	"18.5"	"Rain"	180
2014-01-01 02:20:00	6	"93"	1002	"14.8"	""	180
2014-01-01 02:50:00	6	"93"	1001	"14.8"	""	180
2014-01-01 03:00:00	6	"89"	1002	"14.8"	""	170
2014-01-01 03:20:00	7	"87"	1001	"9.3"	""	170
2014-01-01 03:50:00	7	"87"	1001	"11.1"	""	160
2014-01-01 04:00:00	6	"88"	1001	"9.3"	"Rain"	150
2014-01-01 04:20:00	7	"87"	1001	"14.8"	""	180
2014-01-01 04:50:00	7	"87"	1000	"14.8"	""	180
2014-01-01 05:00:00	7	"82"	1001	"14.8"	"Rain"	180
2014-01-01 05:20:00	7	"93"	1000	"16.7"	""	180
2014-01-01 05:50:00	8	"87"	1000	"16.7"	""	180
2014-01-01 06:00:00	8	"84"	1000	"14.8"	""	170
2014-01-01 06:20:00	8	"87"	999	"20.4"	""	190
2014-01-01 06:50:00	8	"87"	999	"22.2"	""	190
2014-01-01 07:00:00	8	"82"	999	"20.4"	"Rain"	180
2014-01-01 07:20:00	9	"82"	999	"22.2"	""	190
2014-01-01 07:50:00	9	"82"	998	"25.9"	""	180
2014-01-01 08:00:00	9	"77"	998	"25.9"	""	170
2014-01-01 08:20:00	9	"82"	998	"24.1"	""	180
2014-01-01 08:50:00	9	"82"	997	"27.8"	""	180
2014-01-01 09:00:00	9	"76"	998	"29.6"	"Rain"	170
2014-01-01 09:20:00	9	"82"	997	"33.3"	""	180
2014-01-01 09:50:00	9	"82"	996	"35.2"	"Rain"	180
2014-01-01 10:00:00	9	"81"	996	"35.2"	"Rain"	170
2014-01-01 10:20:00	9	"82"	995	"35.2"	"Rain"	170
2014-01-01 10:50:00	8	"87"	994	"35.2"	"Rain"	170
2014-01-01 11:00:00	8	"83"	994	"38.9"	"Rain"	160
2014-01-01 11:20:00	8	"87"	993	"38.9"	"Rain"	160
2014-01-01 11:50:00	9	"87"	991	"35.2"	"Rain"	160
2014-01-01 12:00:00	8	"86"	992	"35.2"	"Rain"	160
2014-01-01 12:20:00	9	"87"	990	"40.7"	"Rain"	160
2014-01-01 12:50:00	9	"93"	989	"35.2"	"Rain"	170
2014-01-01 13:00:00	9	"89"	990	"37"	"Rain"	160
2014-01-01 13:20:00	9	"93"	989	"33.3"	"Rain"	170
2014-01-01 13:50:00	10	"87"	988	"35.2"	"Rain"	180
2014-01-01 14:20:00	10	"94"	987	"37"	"Rain"	190
2014-01-01 14:50:00	10	"94"	987	"38.9"	"Rain"	190
2014-01-01 15:00:00	10	"87"	987	"33.3"	"Rain"	180
2014-01-01 15:20:00	11	"88"	987	"38.9"	"Rain"	190
2014-01-01 15:50:00	11	"88"	986	"38.9"	"Rain"	190
2014-01-01 16:00:00	10	"85"	987	"35.2"	"Rain"	180
2014-01-01 16:20:00	11	"88"	986	"38.9"	"Rain"	190
2014-01-01 16:50:00	11	"88"	986	"37"	"Rain"	180
2014-01-01 17:00:00	10	"84"	986	"37"	"Rain"	180
2014-01-01 17:20:00	11	"88"	985	"38.9"	"Rain"	190
2014-01-01 17:50:00	11	"88"	985	"31.5"	"Rain"	190
2014-01-01 18:00:00	10	"84"	985	"35.2"	"Rain"	180
2014-01-01 18:20:00	11	"88"	985	"33.3"	"Rain"	190
2014-01-01 18:50:00	11	"88"	984	"33.3"	"Rain"	190
2014-01-01 19:00:00	10	"87"	984	"29.6"	"Rain"	190
2014-01-01 19:20:00	11	"88"	984	"31.5"	"Rain"	190
2014-01-01 19:50:00	11	"88"	984	"29.6"	""	190
2014-01-01 20:20:00	11	"88"	984	"29.6"	""	200
2014-01-01 20:50:00	11	"82"	984	"27.8"	""	210
2014-01-01 21:00:00	11	"76"	984	"29.6"	"Rain"	200
2014-01-01 21:20:00	11	"82"	984	"25.9"	""	200
2014-01-01 21:50:00	10	"82"	984	"27.8"	""	190
2014-01-01 22:00:00	10	"73"	984	"22.2"	""	190
